,wind_code,sec_name,ar_by_buyer_name,ar_buyer_standard,ar_buyer_subid,cus_name,cus_name_standard,cus_name_subid,ar_buyer_region,cus_region,match_score
744552,688141.SH,杰华特,上海盈太电子有限公司,上海盈太电子有限公司,3,上海盈太电子有限公司,上海盈太电子有限公司,3,上海,上海,100
744563,688141.SH,杰华特,厦门海芯源电子有限公司,厦门海芯源电子有限公司,4,厦门海芯源电子有限公司,厦门海芯源电子有限公司,5,厦门,厦门,100
744616,688146.SH,中船特气,TCL科技集团,TCL科技集团,1,TCL科技,TCL科技,1,,,100
744624,688146.SH,中船特气,TCL科技集团股份有限公司,TCL科技集团股份有限公司,2,TCL科技,TCL科技,1,,,100
744641,688146.SH,中船特气,中芯国际果成电路制造有限公司,中芯国际果成电路制造有限公司,4,中芯国际,中芯国际,2,,,100
744649,688146.SH,中船特气,中芯国际集成电路制造有限公司,中芯国际集成电路制造有限公司,5,中芯国际,中芯国际,2,,,100
744658,688146.SH,中船特气,京东方科技集团股份有限公司,京东方科技集团股份有限公司,6,京东方,京东方,3,东方,东方,100
744666,688146.SH,中船特气,京东方集团,京东方集团,7,京东方,京东方,3,东方,东方,100
744676,688146.SH,中船特气,华立企业股份有限公司,华立企业股份有限公司,8,华立,华立,5,,,100
744677,688146.SH,中船特气,华立企业股份有限公司,华立企业股份有限公司,8,华立企业股份有限公司,华立企业股份有限公司,6,,,100
744759,688146.SH,中船特气,长江存储科技控股有限责任公司,长江存储科技控股有限责任公司,18,长江存储,长江存储,8,,,100
744775,688147.SH,微导纳米,平煤隆基新能源科技有限公司,平煤隆基新能源科技有限公司,2,平煤隆基新能源科技有限公司,平煤隆基新能源科技有限公司,3,,,100
